# Region type : patch outlet
# Faces         : 20
# Area          : 4.36243709e-07
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(p)	weightedAverage(U)	weightedAverage(T)
100             	1.01325000e+05	(1.00946953e+00 1.40255871e-03 -1.70255955e-14)	3.03002115e+02
200             	1.01325000e+05	(1.04432365e+00 -8.73303583e-06 3.34685528e-13)	3.09317029e+02
300             	1.01325000e+05	(1.06308667e+00 -1.09724056e-06 8.05947213e-13)	3.18177997e+02
400             	1.01325000e+05	(1.06106686e+00 3.93533750e-07 1.01942008e-12)	3.26819522e+02
500             	1.01325000e+05	(1.06086281e+00 -1.14405440e-07 1.14055525e-12)	3.34421674e+02
600             	1.01325000e+05	(1.06100477e+00 4.70896507e-10 1.20770072e-12)	3.41242474e+02
700             	1.01325000e+05	(1.06097452e+00 9.11731800e-09 1.24498475e-12)	3.47365075e+02
800             	1.01325000e+05	(1.06097731e+00 -7.87336949e-10 1.25538821e-12)	3.52844676e+02
900             	1.01325000e+05	(1.06097665e+00 -1.29557319e-09 1.26005637e-12)	3.57748098e+02
1000            	1.01325000e+05	(1.06097744e+00 3.70430918e-09 1.24846224e-12)	3.62146908e+02
1100            	1.01325000e+05	(1.06097725e+00 -3.55100198e-08 1.25066874e-12)	3.66089954e+02
1200            	1.01325000e+05	(1.06097707e+00 4.08192395e-09 1.27192021e-12)	3.69618999e+02
1300            	1.01325000e+05	(1.06097716e+00 -3.30335866e-10 1.25483636e-12)	3.72779592e+02
1400            	1.01325000e+05	(1.06097721e+00 2.52722947e-08 1.23279726e-12)	3.75613721e+02
1500            	1.01325000e+05	(1.06097741e+00 1.64755585e-08 1.24784077e-12)	3.78153227e+02
1600            	1.01325000e+05	(1.06097742e+00 -5.39519075e-08 1.25762693e-12)	3.80426971e+02
1700            	1.01325000e+05	(1.06097717e+00 1.66340925e-08 1.25044880e-12)	3.82463967e+02
1800            	1.01325000e+05	(1.06097704e+00 2.52643382e-08 1.25326016e-12)	3.84289698e+02
1900            	1.01325000e+05	(1.06097719e+00 4.73935140e-08 1.26049405e-12)	3.85925076e+02
2000            	1.01325000e+05	(1.06097750e+00 4.59106774e-08 1.24198704e-12)	3.87389709e+02
2100            	1.01325000e+05	(1.06097731e+00 -4.06720344e-08 1.24042216e-12)	3.88702276e+02
2200            	1.01325000e+05	(1.06097713e+00 -1.85587667e-08 1.22750844e-12)	3.89878562e+02
2300            	1.01325000e+05	(1.06097699e+00 9.79237927e-09 1.25610810e-12)	3.90932136e+02
2400            	1.01325000e+05	(1.06097703e+00 6.32923677e-08 1.22843012e-12)	3.91875855e+02
2500            	1.01325000e+05	(1.06097743e+00 2.28765254e-08 1.25202458e-12)	3.92721532e+02
2600            	1.01325000e+05	(1.06097729e+00 -4.57079162e-08 1.23802107e-12)	3.93479284e+02
2700            	1.01325000e+05	(1.06097716e+00 -4.53912423e-08 1.23504188e-12)	3.94158044e+02
2800            	1.01325000e+05	(1.06097692e+00 -2.13709589e-08 1.26948503e-12)	3.94766109e+02
2900            	1.01325000e+05	(1.06097706e+00 5.23647206e-08 1.25173195e-12)	3.95310930e+02
3000            	1.01325000e+05	(1.06097748e+00 1.39454189e-08 1.25145862e-12)	3.95799021e+02
3100            	1.01325000e+05	(1.06097742e+00 -3.83099417e-08 1.25211631e-12)	3.96236259e+02
3200            	1.01325000e+05	(1.06097731e+00 -7.38055336e-08 1.23848623e-12)	3.96628014e+02
3300            	1.01325000e+05	(1.06097701e+00 -2.96002578e-08 1.22383809e-12)	3.96979037e+02
3400            	1.01325000e+05	(1.06097713e+00 5.83361288e-08 1.25545134e-12)	3.97293506e+02
3500            	1.01325000e+05	(1.06097748e+00 3.50113148e-08 1.26163191e-12)	3.97575218e+02
3600            	1.01325000e+05	(1.06097757e+00 -1.03643067e-08 1.25570933e-12)	3.97827617e+02
3700            	1.01325000e+05	(1.06097740e+00 -6.44379952e-08 1.24930236e-12)	3.98053756e+02
3800            	1.01325000e+05	(1.06097701e+00 -1.91002992e-08 1.24346135e-12)	3.98256348e+02
3900            	1.01325000e+05	(1.06097711e+00 6.53667188e-08 1.26440282e-12)	3.98437844e+02
4000            	1.01325000e+05	(1.06097739e+00 6.38342638e-08 1.22318810e-12)	3.98600451e+02
4100            	1.01325000e+05	(1.06097757e+00 1.30730247e-08 1.23792856e-12)	3.98746131e+02
4200            	1.01325000e+05	(1.06097735e+00 -6.32943642e-08 1.24151744e-12)	3.98876642e+02
4300            	1.01325000e+05	(1.06097692e+00 -2.09107121e-08 1.25045614e-12)	3.98993571e+02
4400            	1.01325000e+05	(1.06097693e+00 5.98415056e-08 1.24986038e-12)	3.99098334e+02
4500            	1.01325000e+05	(1.06097722e+00 7.52142168e-08 1.24562487e-12)	3.99192192e+02
4600            	1.01325000e+05	(1.06097752e+00 1.20374472e-08 1.25740439e-12)	3.99276279e+02
4700            	1.01325000e+05	(1.06097732e+00 -7.98004868e-08 1.24316750e-12)	3.99351612e+02
4800            	1.01325000e+05	(1.06097690e+00 -5.29830877e-08 1.25784357e-12)	3.99419104e+02
4900            	1.01325000e+05	(1.06097686e+00 2.61686698e-08 1.25375264e-12)	3.99479571e+02
5000            	1.01325000e+05	(1.06097717e+00 7.01434888e-08 1.24710584e-12)	3.99533742e+02
5100            	1.01325000e+05	(1.06097758e+00 2.64734240e-09 1.27062252e-12)	3.99582276e+02
5200            	1.01325000e+05	(1.06097743e+00 -9.65904662e-08 1.23274945e-12)	3.99625757e+02
5300            	1.01325000e+05	(1.06097702e+00 -7.67353659e-08 1.23834528e-12)	3.99664712e+02
