# Region type : patch outlet
# Faces         : 20
# Area          : 4.36243709e-07
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(p)	weightedAverage(U)	weightedAverage(T)
16100           	1.01325000e+05	(1.06097672e+00 -4.59888532e-08 1.23563260e-12)	3.99982971e+02
16200           	1.01325000e+05	(1.06097657e+00 9.53598247e-08 1.24509459e-12)	3.99982971e+02
16300           	1.01325000e+05	(1.06097703e+00 1.87394319e-07 1.24291021e-12)	3.99982971e+02
16400           	1.01325000e+05	(1.06097771e+00 1.30610717e-07 1.25345341e-12)	3.99982971e+02
16500           	1.01325000e+05	(1.06097769e+00 -2.04504737e-08 1.24622429e-12)	3.99982971e+02
16600           	1.01325000e+05	(1.06097707e+00 -1.25891231e-08 1.25607492e-12)	3.99982971e+02
16700           	1.01325000e+05	(1.06097692e+00 1.07589149e-07 1.24974666e-12)	3.99982971e+02
16800           	1.01325000e+05	(1.06097733e+00 1.73213309e-07 1.23491724e-12)	3.99982971e+02
16900           	1.01325000e+05	(1.06097789e+00 1.15015999e-07 1.22455215e-12)	3.99982971e+02
17000           	1.01325000e+05	(1.06097804e+00 -4.08927918e-08 1.26257809e-12)	3.99982971e+02
17100           	1.01325000e+05	(1.06097748e+00 -1.50155232e-07 1.24451906e-12)	3.99982971e+02
17200           	1.01325000e+05	(1.06097680e+00 -1.14557815e-07 1.25145762e-12)	3.99982971e+02
17300           	1.01325000e+05	(1.06097646e+00 3.30813172e-09 1.24988544e-12)	3.99982971e+02
17400           	1.01325000e+05	(1.06097678e+00 1.24290591e-07 1.25086958e-12)	3.99982971e+02
17500           	1.01325000e+05	(1.06097729e+00 5.39136117e-08 1.24825225e-12)	3.99982971e+02
17600           	1.01325000e+05	(1.06097687e+00 2.73015542e-09 1.26162898e-12)	3.99982971e+02
17700           	1.01325000e+05	(1.06097673e+00 1.82784465e-07 1.23104900e-12)	3.99982971e+02
17800           	1.01325000e+05	(1.06097779e+00 2.31420038e-07 1.25138822e-12)	3.99982971e+02
17900           	1.01325000e+05	(1.06097850e+00 5.32213399e-10 1.24765157e-12)	3.99982971e+02
18000           	1.01325000e+05	(1.06097809e+00 -2.12670631e-07 1.24817339e-12)	3.99982971e+02
18100           	1.01325000e+05	(1.06097711e+00 -2.78891440e-07 1.23815214e-12)	3.99982971e+02
18200           	1.01325000e+05	(1.06097618e+00 -8.80874120e-08 1.22761980e-12)	3.99982971e+02
18300           	1.01325000e+05	(1.06097671e+00 1.58854176e-07 1.25900814e-12)	3.99982971e+02
18400           	1.01325000e+05	(1.06097768e+00 3.06314289e-08 1.24597982e-12)	3.99982971e+02
18500           	1.01325000e+05	(1.06097703e+00 -7.91126290e-08 1.25056400e-12)	3.99982971e+02
18600           	1.01325000e+05	(1.06097669e+00 1.21950190e-07 1.24853186e-12)	3.99982971e+02
18700           	1.01325000e+05	(1.06097755e+00 1.21112464e-07 1.25437308e-12)	3.99982971e+02
18800           	1.01325000e+05	(1.06097745e+00 -1.14296435e-07 1.24760912e-12)	3.99982971e+02
18900           	1.01325000e+05	(1.06097623e+00 -1.43641319e-07 1.26020062e-12)	3.99982971e+02
19000           	1.01325000e+05	(1.06097558e+00 4.37506603e-08 1.25651495e-12)	3.99982971e+02
