# Region type : patch outlet
# Faces         : 20
# Area          : 4.36243709e-07
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(p)	weightedAverage(U)	weightedAverage(T)
6000            	1.01325000e+05	(1.05722692e+00 1.29543152e-08 2.26462833e-12)	3.99944616e+02
6100            	1.01325000e+05	(1.05722894e+00 -9.00436222e-08 2.26347489e-12)	3.99950598e+02
6200            	1.01325000e+05	(1.05723119e+00 -8.66169692e-08 2.24703432e-12)	3.99955564e+02
6300            	1.01325000e+05	(1.05723292e+00 4.15202282e-10 2.26468157e-12)	3.99960028e+02
6400            	1.01325000e+05	(1.05723387e+00 6.95699100e-08 2.27965823e-12)	3.99964043e+02
6500            	1.01325000e+05	(1.05723562e+00 -2.74147499e-08 2.24253508e-12)	3.99967655e+02
6600            	1.01325000e+05	(1.05723663e+00 6.92387077e-09 2.25685238e-12)	3.99970904e+02
6700            	1.01325000e+05	(1.05723789e+00 -2.53423449e-08 2.25597416e-12)	3.99973827e+02
6800            	1.01325000e+05	(1.05723897e+00 -1.99312772e-08 2.25134219e-12)	3.99976456e+02
6900            	1.01325000e+05	(1.05723978e+00 -2.82550830e-08 2.25974191e-12)	3.99978821e+02
7000            	1.01325000e+05	(1.05724054e+00 -9.41416752e-09 2.26962823e-12)	3.99980947e+02
7100            	1.01325000e+05	(1.05724126e+00 1.78031701e-09 2.26797369e-12)	3.99982858e+02
7200            	1.01325000e+05	(1.05724180e+00 -5.77108731e-09 2.24949301e-12)	3.99984324e+02
7300            	1.01325000e+05	(1.05724179e+00 -1.53363558e-09 2.26136977e-12)	3.99984324e+02
7400            	1.01325000e+05	(1.05724177e+00 3.41982397e-09 2.27107021e-12)	3.99984324e+02
7500            	1.01325000e+05	(1.05724178e+00 -1.89352946e-09 2.25252506e-12)	3.99984324e+02
7600            	1.01325000e+05	(1.05724180e+00 -5.76288322e-09 2.26864079e-12)	3.99984324e+02
7700            	1.01325000e+05	(1.05724182e+00 -1.81440208e-09 2.24324414e-12)	3.99984324e+02
7800            	1.01325000e+05	(1.05724180e+00 1.72873233e-10 2.25106726e-12)	3.99984324e+02
7900            	1.01325000e+05	(1.05724176e+00 1.11373212e-08 2.29301460e-12)	3.99984324e+02
8000            	1.01325000e+05	(1.05724179e+00 -3.34056875e-09 2.24850019e-12)	3.99984324e+02
8100            	1.01325000e+05	(1.05724176e+00 3.55035273e-09 2.25843272e-12)	3.99984324e+02
8200            	1.01325000e+05	(1.05724179e+00 -3.86978824e-09 2.29912655e-12)	3.99984324e+02
8300            	1.01325000e+05	(1.05724178e+00 3.09982901e-09 2.26574986e-12)	3.99984324e+02
8400            	1.01325000e+05	(1.05724176e+00 9.27169480e-09 2.30055593e-12)	3.99984324e+02
8500            	1.01325000e+05	(1.05724178e+00 5.18103220e-09 2.28245880e-12)	3.99984324e+02
8600            	1.01325000e+05	(1.05724178e+00 9.06609729e-09 2.27050056e-12)	3.99984324e+02
8700            	1.01325000e+05	(1.05724177e+00 6.62433817e-09 2.26519585e-12)	3.99984324e+02
8800            	1.01325000e+05	(1.05724177e+00 5.63875178e-09 2.29287434e-12)	3.99984324e+02
8900            	1.01325000e+05	(1.05724178e+00 3.22014249e-10 2.26084188e-12)	3.99984324e+02
9000            	1.01325000e+05	(1.05724176e+00 7.50141592e-09 2.26939954e-12)	3.99984324e+02
9100            	1.01325000e+05	(1.05724179e+00 1.00263808e-09 2.27746791e-12)	3.99984324e+02
9200            	1.01325000e+05	(1.05724179e+00 3.31245513e-10 2.24800909e-12)	3.99984324e+02
9300            	1.01325000e+05	(1.05724181e+00 -8.53732244e-09 2.29351389e-12)	3.99984324e+02
9400            	1.01325000e+05	(1.05724181e+00 -6.90552450e-09 2.24846389e-12)	3.99984324e+02
9500            	1.01325000e+05	(1.05724179e+00 -4.76962678e-09 2.28233005e-12)	3.99984324e+02
9600            	1.01325000e+05	(1.05724180e+00 -1.13621427e-09 2.26072394e-12)	3.99984324e+02
9700            	1.01325000e+05	(1.05724181e+00 -5.56251109e-09 2.24969837e-12)	3.99984324e+02
9800            	1.01325000e+05	(1.05724178e+00 5.58528785e-10 2.25621578e-12)	3.99984324e+02
9900            	1.01325000e+05	(1.05724175e+00 6.74989283e-09 2.27414141e-12)	3.99984324e+02
10000           	1.01325000e+05	(1.05724179e+00 -4.21785671e-10 2.26452777e-12)	3.99984324e+02
